股票名称,周期,时间,strategy_id,strategy_name,strategy_mode,strategy_status,是否命中,trigger_bar,reason,推送状态,图
INTC,2h,2026-03-08 13:30:17,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
INTC,3h,2026-03-08 13:31:34,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
INTC,3h,2026-03-08 13:31:34,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
INTC,3h,2026-03-08 13:31:34,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
INTC,3h,2026-03-08 13:31:34,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
INTC,3h,2026-03-08 13:31:34,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
INTC,4h,2026-03-08 13:31:51,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
INTC,4h,2026-03-08 13:31:51,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
INTC,4h,2026-03-08 13:31:51,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
INTC,4h,2026-03-08 13:31:51,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,already_active,none,
INTC,4h,2026-03-08 13:31:51,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
KOLD,1h,2026-03-08 13:32:41,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
KOLD,1h,2026-03-08 13:32:41,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
KOLD,1h,2026-03-08 13:32:41,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
KOLD,1h,2026-03-08 13:32:41,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
KOLD,1h,2026-03-08 13:32:41,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
KOLD,2h,2026-03-08 13:33:04,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
KOLD,2h,2026-03-08 13:33:04,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
KOLD,2h,2026-03-08 13:33:04,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
KOLD,2h,2026-03-08 13:33:04,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
KOLD,2h,2026-03-08 13:33:04,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
KOLD,3h,2026-03-08 13:34:12,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
KOLD,3h,2026-03-08 13:34:12,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
KOLD,3h,2026-03-08 13:34:12,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
KOLD,3h,2026-03-08 13:34:12,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
KOLD,3h,2026-03-08 13:34:12,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
KOLD,4h,2026-03-08 13:34:32,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
KOLD,4h,2026-03-08 13:34:32,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
KOLD,4h,2026-03-08 13:34:32,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
KOLD,4h,2026-03-08 13:34:32,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
KOLD,4h,2026-03-08 13:34:32,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
LMND,1h,2026-03-08 13:35:20,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
LMND,1h,2026-03-08 13:35:20,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
LMND,1h,2026-03-08 13:35:20,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
LMND,1h,2026-03-08 13:35:20,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
LMND,1h,2026-03-08 13:35:20,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
LMND,2h,2026-03-08 13:35:57,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
LMND,2h,2026-03-08 13:35:57,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
LMND,2h,2026-03-08 13:35:57,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
LMND,2h,2026-03-08 13:35:57,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,already_active,none,
LMND,2h,2026-03-08 13:35:57,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
LMND,3h,2026-03-08 13:37:18,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
